id,prompt,image_path,category
0,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/0.png,diffusiondb
1,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/1.png,diffusiondb
2,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/2.png,diffusiondb
3,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/3.png,diffusiondb
4,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/4.png,diffusiondb
5,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/5.png,diffusiondb
6,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/6.png,diffusiondb
7,"an ( ( ( ( anime ) ) ) ) still of an arabian princess with long red hair, dressed as arabian nights, confident looking, finely detailed features, perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida ",data/images/7.png,diffusiondb
8,"hudson highlands by etel adnan, ",data/images/8.png,diffusiondb
9,"hudson highlands by etel adnan, ",data/images/9.png,diffusiondb
10,"hudson highlands by etel adnan, ",data/images/10.png,diffusiondb
11,"hudson highlands by etel adnan, ",data/images/11.png,diffusiondb
12,"hudson highlands by etel adnan, ",data/images/12.png,diffusiondb
13,"hudson highlands by etel adnan, ",data/images/13.png,diffusiondb
14,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/14.png,diffusiondb
15,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/15.png,diffusiondb
16,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/16.png,diffusiondb
17,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/17.png,diffusiondb
18,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/18.png,diffusiondb
19,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/19.png,diffusiondb
